训练轮次,平均奖励,电压越限次数,PSH约束违反,可再生能源消纳率,PSH保持次数,PSH发电次数,PSH抽水次数,PSH停止次数,上水库SOC,下水库SOC,电压最小值,电压最大值,总损失,Actor损失,Critic损失,评估奖励
16,0.3041,11,0,100.0,15,46,35,,0.116,0.884,0.9475,1.0,12.828376,-0.014062,25.789326,
17,0.1502,0,0,100.0,8,42,46,,0.11,0.89,0.9523,1.0,2.739326,-0.017324,5.617138,
18,0.0951,66,0,100.0,9,44,43,,0.114,0.886,0.9421,1.0,2.654217,-0.024212,5.460053,
19,0.162,0,0,92.6,7,41,48,,0.114,0.886,0.9647,1.0337,2.659684,-0.008394,5.437773,
20,0.1914,0,0,99.7,10,28,58,,0.126,0.874,0.9522,1.0132,2.773311,0.012996,5.621532,0.2304
21,0.2566,0,0,99.9,5,42,49,,0.085,0.915,0.9568,1.0125,3.210828,0.010936,6.500676,
22,0.1523,0,0,90.8,5,49,42,,0.115,0.885,0.9663,1.0263,4.104715,0.000464,8.309203,
23,0.1566,0,0,99.5,6,40,50,,0.156,0.844,0.9564,1.0157,0.998858,-0.003376,2.103934,
24,0.1259,0,0,99.8,0,31,65,,0.08,0.92,0.9572,1.0139,0.39922,-0.00999,0.918204,
25,0.3577,0,0,98.9,2,34,60,,0.083,0.917,0.9606,1.0151,7.522902,-0.020817,15.185581,
26,0.2428,0,0,91.6,2,30,64,,0.088,0.912,0.9663,1.0341,2.483607,0.02653,5.011342,
27,0.1825,0,0,100.0,2,23,71,,0.081,0.919,0.9599,1.0,1.369703,-0.018334,2.874303,
28,0.2285,72,0,100.0,3,41,52,,0.088,0.912,0.9401,1.0,2.844512,-0.000547,5.788935,
29,0.0892,0,0,100.0,0,39,57,,0.088,0.912,0.9635,1.0,0.621658,0.02175,1.299136,
30,0.3289,0,0,100.0,0,44,52,,0.088,0.912,0.9521,1.0,7.24722,0.033574,14.526545,0.216
31,0.1694,0,0,95.6,1,43,52,,0.086,0.914,0.9627,1.0221,0.75787,-0.0757,1.766417,
32,0.1708,70,0,100.0,1,53,42,,0.077,0.923,0.9421,1.0,0.991967,-0.027481,2.137594,
33,0.1813,0,0,100.0,0,67,29,,0.075,0.925,0.9516,1.0,1.191045,0.002309,2.475916,
34,0.1456,0,0,98.8,0,53,43,,0.075,0.925,0.9574,1.0217,0.84017,0.002143,1.775056,
35,0.0861,0,0,100.0,4,50,42,,0.088,0.912,0.9503,1.0,2.233012,0.017433,4.530205,
36,0.2274,105,0,100.0,0,56,40,,0.086,0.914,0.9416,1.0,1.538231,-0.001296,3.178105,
37,0.2616,53,0,100.0,0,51,45,,0.086,0.914,0.9449,1.0,5.102177,0.040397,10.222686,
38,0.2496,18,0,100.0,0,45,51,,0.086,0.914,0.9475,1.0,2.81815,0.017871,5.699679,
39,0.1132,79,0,100.0,0,40,56,,0.086,0.914,0.9409,1.0,0.665665,-0.019978,1.46963,
40,0.1679,0,0,86.2,0,31,65,,0.086,0.914,0.9627,1.0253,0.662766,-0.005067,1.432849,0.2057
41,0.2491,0,0,98.5,0,27,69,,0.086,0.914,0.9597,1.0164,1.77757,-0.023737,3.699924,
